accession,reference_length,covered_bases,reads_aligned,mean_coverage,RPKMF,sequence_name,taxid,kingdom,phylum,class,order,family,genus,species,subspecies,strain,sample_ID,total_filtered_reads_in_sample,reads_per_million,match,date_parsed,sample_type
MF588746.1,7300,587,40,0.7055944,0.145999,"Gammapapillomavirus 24 isolate Gamma24_EV03c40, complete genome",1961681,Viruses,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Gammapapillomavirus,Gammapapillomavirus 24,unclassified Gammapapillomavirus 24 subspecies/strain,unclassified Gammapapillomavirus 24 strain,W156,37530841,1.065790132440677,10,2025-02-17,Wastewater
MF588741.1,7201,597,41,0.8722167,0.151706,"Gammapapillomavirus 22 isolate Gamma22_w18c39, complete genome",1961679,Viruses,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Gammapapillomavirus,Gammapapillomavirus 22,unclassified Gammapapillomavirus 22 subspecies/strain,unclassified Gammapapillomavirus 22 strain,W156,37530841,1.0924348857516943,10,2025-02-17,Wastewater
MF588733.1,7282,1547,50,1.0423443,0.182949,"Gammapapillomavirus 19 isolate Gamma19_w18c11d, complete genome",1513264,Viruses,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Gammapapillomavirus,Gammapapillomavirus 19,unclassified Gammapapillomavirus 19 subspecies/strain,unclassified Gammapapillomavirus 19 strain,W156,37530841,1.3322376655508466,10,2025-02-17,Wastewater
MF588730.1,7292,698,39,0.8158779,0.142505,"Gammapapillomavirus 18 isolate Gamma18_EV07c385, complete genome",1513263,Viruses,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Gammapapillomavirus,Gammapapillomavirus 18,unclassified Gammapapillomavirus 18 subspecies/strain,unclassified Gammapapillomavirus 18 strain,W156,37530841,1.0391453791296603,10,2025-02-17,Wastewater
MF588727.1,7221,4743,54,1.1732428,0.199254,"Gammapapillomavirus 15 isolate Gamma15_wg1c09, complete genome",1513260,Viruses,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Gammapapillomavirus,Gammapapillomavirus 15,unclassified Gammapapillomavirus 15 subspecies/strain,unclassified Gammapapillomavirus 15 strain,W156,37530841,1.4388166787949142,10,2025-02-17,Wastewater
MF588724.1,7272,808,44,0.9026959,0.161217,"Gammapapillomavirus 15 isolate Gamma15_EV03c104, complete genome",1513260,Viruses,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Gammapapillomavirus,Gammapapillomavirus 15,unclassified Gammapapillomavirus 15 subspecies/strain,unclassified Gammapapillomavirus 15 strain,W156,37530841,1.172369145684745,10,2025-02-17,Wastewater
MF588719.1,7110,1923,83,1.762931,0.311043,"Gammapapillomavirus 12 isolate Gamma12_w23c77, complete genome",1513257,Viruses,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Gammapapillomavirus,Gammapapillomavirus 12,unclassified Gammapapillomavirus 12 subspecies/strain,unclassified Gammapapillomavirus 12 strain,W156,37530841,2.2115145248144055,10,2025-02-17,Wastewater
MF588711.1,7301,908,45,0.9367921,0.164226,"Gammapapillomavirus 9 isolate Gamma09_w23c101c, complete genome",1175851,Viruses,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Gammapapillomavirus,Gammapapillomavirus 9,unclassified Gammapapillomavirus 9 subspecies/strain,unclassified Gammapapillomavirus 9 strain,W156,37530841,1.199013898995762,10,2025-02-17,Wastewater
MF588704.1,7227,4960,256,5.502614,0.94383,"Gammapapillomavirus 8 isolate Gamma08_do1c232, complete genome",1175850,Viruses,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Gammapapillomavirus,Gammapapillomavirus 8,unclassified Gammapapillomavirus 8 subspecies/strain,unclassified Gammapapillomavirus 8 strain,W156,37530841,6.821056847620334,10,2025-02-17,Wastewater
MF352432.1,8295,2671,209,3.8238182,0.671339,"Aichivirus A strain Wencheng-Rt386-2 polyprotein gene, complete cds",72149,Viruses,Pisuviricota,Pisoniviricetes,Picornavirales,Picornaviridae,Kobuvirus,Aichivirus A,unclassified Aichivirus A subspecies/strain,unclassified Aichivirus A strain,W156,37530841,5.568753442002539,10,2025-02-17,Wastewater
AY017339.1,3820,649,95,3.6433241,0.662631,"Arabis mosaic virus isolate NW segment RNA2 polyprotein P2 gene, complete cds",12271,Viruses,Pisuviricota,Pisoniviricetes,Picornavirales,Secoviridae,Nepovirus,Arabis mosaic virus,unclassified Arabis mosaic virus subspecies/strain,unclassified Arabis mosaic virus strain,W156,37530841,2.5312515645466083,10,2025-02-17,Wastewater
KF861773.1,1730,778,476,44.718353,7.33116,"Porcine picobirnavirus strain 221/04-16/ITA/2004 segment S, complete sequence",442302,Viruses,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae,Picobirnavirus,Porcine picobirnavirus,unclassified Porcine picobirnavirus subspecies/strain,unclassified Porcine picobirnavirus strain,W156,37530841,12.682902576044059,10,2025-02-17,Wastewater
KX783423.1,8938,1476,76,1.3367091,0.226561,"Rosavirus B strain RNCW0602091R polyprotein gene, complete cds",1902501,Viruses,Pisuviricota,Pisoniviricetes,Picornavirales,Picornaviridae,Rosavirus,Rosavirus B,unclassified Rosavirus B subspecies/strain,unclassified Rosavirus B strain,W156,37530841,2.025001251637287,10,2025-02-17,Wastewater
KC769372.1,2686,1677,326,19.428234,3.23388,UNVERIFIED: Rotavirus A strain RVA/Human-wt/AUS/CK00065/2007/G1P[8] segment 2 genomic sequence,28875,Viruses,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,Rotavirus A,unclassified Rotavirus A subspecies/strain,unclassified Rotavirus A strain,W156,37530841,8.68618957939152,10,2025-02-17,Wastewater
KC769374.1,2333,658,171,11.884105,1.95296,UNVERIFIED: Rotavirus A strain RVA/Human-wt/AUS/CK00065/2007/G1P[8] segment 4 genomic sequence,28875,Viruses,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,Rotavirus A,unclassified Rotavirus A subspecies/strain,unclassified Rotavirus A strain,W156,37530841,4.556252816183895,10,2025-02-17,Wastewater
HQ661119.1,1059,1059,479,77.79978,12.0518,"Rotavirus A strain RVA/Human-tc/ITA/PA260-97/1997/G3P[3] NSP2 gene, complete cds",28875,Viruses,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,Rotavirus A,unclassified Rotavirus A subspecies/strain,unclassified Rotavirus A strain,W156,37530841,12.76283683597711,10,2025-02-17,Wastewater
KY055429.1,2585,2181,2025,124.91129,20.8726,"Rotavirus A strain RVA/Goat-wt/UGA/BUW-14-085/2014/G6P[1] VP3 (VP3) mRNA, complete cds",28875,Viruses,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,Rotavirus A,unclassified Rotavirus A subspecies/strain,unclassified Rotavirus A strain,W156,37530841,53.95562545480929,10,2025-02-17,Wastewater
GU827407.1,2693,2661,1774,98.39127,17.5521,"Rotavirus A strain RVA/Cat-wt/ITA/BA222/2005/G3P[9] VP2 gene, complete cds",28875,Viruses,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,Rotavirus A,unclassified Rotavirus A subspecies/strain,unclassified Rotavirus A strain,W156,37530841,47.26779237374404,10,2025-02-17,Wastewater
GU827409.1,2359,2350,1581,104.21503,17.8573,"Rotavirus A strain RVA/Cat-wt/ITA/BA222/2005/G3P[9] VP4 gene, complete cds",28875,Viruses,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,Rotavirus A,unclassified Rotavirus A subspecies/strain,unclassified Rotavirus A strain,W156,37530841,42.12535498471777,10,2025-02-17,Wastewater
GU827412.1,1578,1166,476,48.842438,8.03733,"Rotavirus A strain RVA/Cat-wt/ITA/BA222/2005/G3P[9] NSP1 gene, complete cds",28875,Viruses,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,Rotavirus A,unclassified Rotavirus A subspecies/strain,unclassified Rotavirus A strain,W156,37530841,12.682902576044059,10,2025-02-17,Wastewater
KC257095.1,1191,615,105,13.190202,2.34903,"Rotavirus A strain RVA/Camel-wt/SDN/MRC-DPRU447/2002/G8P[11] segment 6 VP6 gene, partial cds",28875,Viruses,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,Rotavirus A,unclassified Rotavirus A subspecies/strain,unclassified Rotavirus A strain,W156,37530841,2.797699097656778,10,2025-02-17,Wastewater
KC178814.1,1062,1024,194,31.55921,4.86731,"Rotavirus A strain PA17/2008 VP7 mRNA, complete cds",28875,Viruses,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,Rotavirus A,unclassified Rotavirus A subspecies/strain,unclassified Rotavirus A strain,W156,37530841,5.169082142337285,10,2025-02-17,Wastewater
KJ187603.1,1356,1342,767,96.77363,15.0712,"Human rotavirus A strain CAU12-2-51 segment 6, complete sequence",10941,Viruses,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,Rotavirus A,Human rotavirus A,Human rotavirus A,W156,37530841,20.436525789549986,10,2025-02-17,Wastewater
KU048554.1,2735,2067,385,22.300194,3.75072,"Rotavirus A isolate Hu-wt/ITA/PA525/14/2014/G12P8 VP2 gene, complete cds",28875,Viruses,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,Rotavirus A,unclassified Rotavirus A subspecies/strain,unclassified Rotavirus A strain,W156,37530841,10.258230024741518,10,2025-02-17,Wastewater
JX040418.1,750,635,447,112.72,15.8803,"Rotavirus A strain RVA/human-wt/IND/N-1/2009/G6P[14] structural protein VP3 gene, partial cds",28875,Viruses,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,Rotavirus A,unclassified Rotavirus A subspecies/strain,unclassified Rotavirus A strain,W156,37530841,11.910204730024569,10,2025-02-17,Wastewater
JX040433.1,906,677,785,154.73413,23.0862,"Rotavirus A strain RVA/human-wt/IND/N-1/2009/G6P[14] non-structural protein NSP4 gene, complete cds",28875,Viruses,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,Rotavirus A,unclassified Rotavirus A subspecies/strain,unclassified Rotavirus A strain,W156,37530841,20.91613134914829,10,2025-02-17,Wastewater
KT887535.1,1191,908,552,77.34582,12.3492,"Rotavirus A strain RVA/alpaca-wt/PER/1115/2010/G8P[1] segment 6, partial sequence",28875,Viruses,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,Rotavirus A,unclassified Rotavirus A subspecies/strain,unclassified Rotavirus A strain,W156,37530841,14.707903827681346,10,2025-02-17,Wastewater
DQ146672.1,2753,1539,124,7.1144834,1.20013,"Rotavirus A strain RVA/Human/BGD/Matlab13/2003/G12P[6] VP2 gene, complete cds",28875,Viruses,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,Rotavirus A,unclassified Rotavirus A subspecies/strain,unclassified Rotavirus A strain,W156,37530841,3.303949410566099,10,2025-02-17,Wastewater
KF371682.1,1062,977,754,113.5614,18.9173,"Human rotavirus A strain RVA/Human-tc/CHN/L148/2004/G3P[8] segment 9, complete sequence",10941,Viruses,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,Rotavirus A,Human rotavirus A,Human rotavirus A,W156,37530841,20.090143996506765,10,2025-02-17,Wastewater
KT695085.1,2359,1029,108,8.657311,1.21985,"Human rotavirus A strain RVA/Human-tc/USA/DC3695-40-AG/1989/G1P[8] VP4 (VP4) gene, complete cds",10941,Viruses,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,Rotavirus A,Human rotavirus A,Human rotavirus A,W156,37530841,2.8776333575898283,10,2025-02-17,Wastewater
KU356614.1,1059,727,439,75.54785,11.0454,"Human rotavirus A strain RVA/Human-wt/BGN/M313/2013/G2P[4] NSP2 gene, complete cds",10941,Viruses,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,Rotavirus A,Human rotavirus A,Human rotavirus A,W156,37530841,11.697046703536433,10,2025-02-17,Wastewater
KU356605.1,751,571,357,88.62396,12.666,"Human rotavirus A strain RVA/Human-wt/BGN/M315/2013/G2P[4] NSP4 gene, complete cds",10941,Viruses,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,Rotavirus A,Human rotavirus A,Human rotavirus A,W156,37530841,9.512176932033045,10,2025-02-17,Wastewater
KT206197.1,2736,2346,278,16.650038,2.70733,"Rotavirus C strain RVC/Human-wt/ITA/PR713/2012/G4P[2] inner core protein VP2 (VP2) gene, complete cds",36427,Viruses,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,Rotavirus C,unclassified Rotavirus C subspecies/strain,unclassified Rotavirus C strain,W156,37530841,7.407241420462707,10,2025-02-17,Wastewater
KX655511.1,1062,580,159,23.70943,3.98919,"Rotavirus A strain RVA/Human-wt/UGA/MSK-13-048/2013/G9P[8] VP7 (VP7) mRNA, complete cds",28875,Viruses,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,Rotavirus A,unclassified Rotavirus A subspecies/strain,unclassified Rotavirus A strain,W156,37530841,4.236515776451692,10,2025-02-17,Wastewater
KJ752620.1,2530,636,46,2.9491596,0.48445,"Rotavirus A strain RVA/Human-wt/SEN/MRC-DPRU2053/2009/G8P[6] segment 3 RNA capping protein VP3 (VP3) gene, complete cds",28875,Viruses,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,Rotavirus A,unclassified Rotavirus A subspecies/strain,unclassified Rotavirus A strain,W156,37530841,1.225658652306779,10,2025-02-17,Wastewater
MG181720.1,750,725,438,100.721664,15.5605,"Rotavirus A strain RVA/Human-wt/MWI/BID263/2014/G1P[8] nonstructural protein 4 (NSP4) gene, complete cds",28875,Viruses,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,Rotavirus A,unclassified Rotavirus A subspecies/strain,unclassified Rotavirus A strain,W156,37530841,11.670401950225417,10,2025-02-17,Wastewater
KJ870889.1,3302,502,55,2.763325,0.44381,"Rotavirus A strain RVA/Human-wt/COD/KisB554/2010/G8P[6] segment 1, complete sequence",28875,Viruses,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,Rotavirus A,unclassified Rotavirus A subspecies/strain,unclassified Rotavirus A strain,W156,37530841,1.4654614321059312,10,2025-02-17,Wastewater
KJ753392.1,2530,1517,271,17.239075,2.85404,"Rotavirus A strain RVA/Human-wt/ETH/MRC-DPRU861/XXXX/G12P[6] segment 3 RNA capping protein VP3 (VP3) gene, complete cds",28875,Viruses,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,Rotavirus A,unclassified Rotavirus A subspecies/strain,unclassified Rotavirus A strain,W156,37530841,7.220728147285588,10,2025-02-17,Wastewater
KJ639017.1,1062,996,377,65.259865,9.45864,"Rotavirus A isolate RVA/Human/JPN/S13-30/2013/G3P[4] segment 9 VP7 gene, complete cds",28875,Viruses,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,Rotavirus A,unclassified Rotavirus A subspecies/strain,unclassified Rotavirus A strain,W156,37530841,10.045071998253382,10,2025-02-17,Wastewater
KC687007.1,1367,689,81,10.234182,1.5788,"Rotavirus A strain RVA/Human-wt/CMR/6795/1999/G9P[8] structural protein VP2 (VP2) gene, partial cds",28875,Viruses,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,Rotavirus A,unclassified Rotavirus A subspecies/strain,unclassified Rotavirus A strain,W156,37530841,2.1582250181923714,10,2025-02-17,Wastewater
KP882187.1,2316,1769,762,52.682365,8.7665400000000009,"Rotavirus A strain RVA/Human-wt/BGD/Bang-114/2008/G2P[4] segment 4 VP4 (VP4) gene, partial cds",28875,Viruses,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,Rotavirus A,unclassified Rotavirus A subspecies/strain,unclassified Rotavirus A strain,W156,37530841,20.303302022994902,10,2025-02-17,Wastewater
KC175185.1,1343,908,756,93.90444,14.9988,"Rotavirus A strain RVA/Human-wt/IND/N198/2004/G10P[11] segment 6 inner capsid protein VP6 (VP6) gene, complete cds",28875,Viruses,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,Rotavirus A,unclassified Rotavirus A subspecies/strain,unclassified Rotavirus A strain,W156,37530841,20.1434335031288,10,2025-02-17,Wastewater
JF693042.1,1194,530,163,21.869732,3.63743,"Bovine rotavirus A isolate bovine-tc/South Africa/'O' Agent/1965/G8P[1] segment 6 VP6 protein gene, complete cds",35333,Viruses,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,Rotavirus A,Bovine rotavirus A,Bovine rotavirus A,W156,37530841,4.34309478969576,10,2025-02-17,Wastewater
KC178774.1,2687,1255,126,8.407962,1.24944,"Rotavirus A strain PAI11/1996 VP2 mRNA, complete cds",28875,Viruses,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,Rotavirus A,unclassified Rotavirus A subspecies/strain,unclassified Rotavirus A strain,W156,37530841,3.3572389171881336,10,2025-02-17,Wastewater
LC055551.1,1356,948,264,40.954395,5.18747,"Human rotavirus A VP6 gene for structural protein VP6, complete cds, strain: RVA/Human-wt/THA/SKT-27/2012/G6P[14]",10941,Viruses,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,Rotavirus A,Human rotavirus A,Human rotavirus A,W156,37530841,7.0342148741084705,10,2025-02-17,Wastewater
KU356638.1,751,539,114,30.63228,4.04461,"Human rotavirus A strain RVA/Human-wt/BGN/M310/2013/G2P[4] NSP4 gene, complete cds",10941,Viruses,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,Rotavirus A,Human rotavirus A,Human rotavirus A,W156,37530841,3.0375018774559304,10,2025-02-17,Wastewater
JX271006.1,1062,1060,427,59.254387,10.7131,"Rotavirus A strain RVA/Human-wt/TUN/17237/2008/G6P[9] viral protein 7 gene, complete cds",28875,Viruses,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,Rotavirus A,unclassified Rotavirus A subspecies/strain,unclassified Rotavirus A strain,W156,37530841,11.37730966380423,10,2025-02-17,Wastewater
KU714457.1,2591,890,88,6.5489554,0.904955,"Rotavirus A strain RVA/Human-wt/MWI/MW2-181_B/2000/G1P[8] segment 3, complete sequence",28875,Viruses,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,Rotavirus A,unclassified Rotavirus A subspecies/strain,unclassified Rotavirus A strain,W156,37530841,2.34473829136949,10,2025-02-17,Wastewater
MG181725.1,2359,1956,2086,136.03757,23.5612,"Rotavirus A strain RVA/Human-wt/MWI/BID2MT/2014/G1P[8] structural protein 4 (VP4) gene, complete cds",28875,Viruses,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,Rotavirus A,unclassified Rotavirus A subspecies/strain,unclassified Rotavirus A strain,W156,37530841,55.580955406781314,10,2025-02-17,Wastewater
JX946174.1,1516,698,84,7.9509516,1.47636,"Human rotavirus A strain RVA/Human-wt/CHN/E2451/2011/G3P[9] nonstructural protein (NSP1) gene, complete cds",10941,Viruses,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,Rotavirus A,Human rotavirus A,Human rotavirus A,W156,37530841,2.2381592781254223,10,2025-02-17,Wastewater
JX946176.1,1074,1042,410,66.704544,10.1716,"Human rotavirus A strain RVA/Human-wt/CHN/E2451/2011/G3P[9] nonstructural protein (NSP3) gene, complete cds",10941,Viruses,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,Rotavirus A,Human rotavirus A,Human rotavirus A,W156,37530841,10.924348857516941,10,2025-02-17,Wastewater
MG181854.1,3303,2756,545,26.56454,4.39642,"Rotavirus A strain RVA/Human-wt/MWI/BID14Z/2012/G2P[4] structural protein 1 (VP1) gene, complete cds",28875,Viruses,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,Rotavirus A,unclassified Rotavirus A subspecies/strain,unclassified Rotavirus A strain,W156,37530841,14.521390554504228,10,2025-02-17,Wastewater
KU508380.1,3302,3263,2091,97.71225,16.8729,"Rotavirus A strain RVA/Human-wt/HUN/182-02/2002/G8P[14] VP1 gene, complete cds",28875,Viruses,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,Rotavirus A,unclassified Rotavirus A subspecies/strain,unclassified Rotavirus A strain,W156,37530841,55.7141791733364,10,2025-02-17,Wastewater
HQ896712.1,2168,1834,136,9.913776,1.67144,"Human rotavirus C strain CAU 10-312 VP3 gene, complete cds",10943,Viruses,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,Rotavirus C,Human rotavirus C,Human rotavirus C,W156,37530841,3.6236864502983024,10,2025-02-17,Wastewater
KJ753404.1,2282,1242,576,41.011257,6.72541,"Rotavirus A strain RVA/Human-wt/ZAF/MRC-DPRU2131/2005/G8P[8] segment 4 putative outer capsid spike protein VP4 (VP4) gene, partial cds",28875,Viruses,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,Rotavirus A,unclassified Rotavirus A subspecies/strain,unclassified Rotavirus A strain,W156,37530841,15.347377907145752,10,2025-02-17,Wastewater
KX171542.1,2546,1077,68,3.8380635,0.711643,"Human rotavirus A strain CAU14-09 RNA capping enzyme (VP3) gene, complete cds",10941,Viruses,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,Rotavirus A,Human rotavirus A,Human rotavirus A,W156,37530841,1.8118432251491512,10,2025-02-17,Wastewater
KC442988.1,2333,1671,843,56.149334,9.62774,UNVERIFIED: Rotavirus A strain RVA/Human-wt/USA/VU05-06-66/2005/G2P[4] segment 4 genomic sequence,28875,Viruses,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,Rotavirus A,unclassified Rotavirus A subspecies/strain,unclassified Rotavirus A strain,W156,37530841,22.461527041187274,10,2025-02-17,Wastewater
AB753500.1,954,525,98,15.874378,2.73709,"Human rotavirus A NSP3 gene for NSP3 protein, partial cds, strain: RVA/Human-tc/MWI/OP2-506/1998/G8P[4]",10941,Viruses,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,Rotavirus A,Human rotavirus A,Human rotavirus A,W156,37530841,2.6111858244796595,10,2025-02-17,Wastewater
KR262149.1,3302,1403,62,2.931472,0.500295,"Human rotavirus A isolate RVA/Human-tc/KOR/CAU14-1-262/2014/G3P[9] VP1 protein (VP1) gene, complete cds",10941,Viruses,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,Rotavirus A,Human rotavirus A,Human rotavirus A,W156,37530841,1.6519747052830496,10,2025-02-17,Wastewater
MF184783.1,1014,867,188,24.907408,4.94005,"Rotavirus A strain RVA/Human-wt/USA/CNMC109/2011/G3P[6] segment 8 non-structural protein 2 (NSP2) gene, complete cds",28875,Viruses,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,Rotavirus A,unclassified Rotavirus A subspecies/strain,unclassified Rotavirus A strain,W156,37530841,5.009213622471183,10,2025-02-17,Wastewater
JX307625.1,1054,697,145,26.934734,3.66555,"Human rotavirus A strain RVA/Human-wt/IND/mcs72/2011/G8P[4] nonstructural protein NSP3 gene, complete cds",10941,Viruses,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,Rotavirus A,Human rotavirus A,Human rotavirus A,W156,37530841,3.863489230097455,10,2025-02-17,Wastewater
KX171543.1,2546,1725,248,15.392321,2.5954,"Human rotavirus A strain CAU14-10 RNA capping enzyme (VP3) gene, complete cds",10941,Viruses,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,Rotavirus A,Human rotavirus A,Human rotavirus A,W156,37530841,6.607898821132198,10,2025-02-17,Wastewater
KP007164.1,2589,1616,178,10.569496,1.83189,"Human rotavirus A strain RVA/Human-wt/PHI/TGO12-004/2012/G1P[8] RNA capping enzyme (VP3) gene, complete cds",10941,Viruses,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,Rotavirus A,Human rotavirus A,Human rotavirus A,W156,37530841,4.742766089361014,10,2025-02-17,Wastewater
LC086766.1,1075,1037,289,51.90054,7.1631,"Human rotavirus A NSP3 gene for non-structural protein NSP3, complete cds, strain: RVA/Human-wt/THA/SKT-98/2013/G1P[8]",10941,Viruses,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,Rotavirus A,Human rotavirus A,Human rotavirus A,W156,37530841,7.700333706883894,10,2025-02-17,Wastewater
KX632343.1,2684,1276,120,7.847277,1.19127,"Rotavirus A strain RVA/Human-wt/UGA/MUL-13-157/2013/G1P[8] segment 2, complete sequence",28875,Viruses,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,Rotavirus A,unclassified Rotavirus A subspecies/strain,unclassified Rotavirus A strain,W156,37530841,3.197370397322032,10,2025-02-17,Wastewater
KX655487.1,2359,659,157,10.5378,1.7733,"Rotavirus A strain RVA/Human-wt/UGA/KTV-13-023/2013/G12P[6] VP4 (VP4) mRNA, complete cds",28875,Viruses,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,Rotavirus A,unclassified Rotavirus A subspecies/strain,unclassified Rotavirus A strain,W156,37530841,4.1832262698296585,10,2025-02-17,Wastewater
KU714445.1,2717,1033,70,4.0163617,0.686468,"Rotavirus A strain RVA/Human-wt/MWI/MW2-181_A/2000/G1P[8] segment 2, complete sequence",28875,Viruses,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,Rotavirus A,unclassified Rotavirus A subspecies/strain,unclassified Rotavirus A strain,W156,37530841,1.8651327317711852,10,2025-02-17,Wastewater
MG181590.1,3303,3140,1001,47.18332,8.0749,"Rotavirus A strain RVA/Human-wt/MWI/BID1LN/2013/G1P[8] structural protein 1 (VP1) gene, complete cds",28875,Viruses,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,Rotavirus A,unclassified Rotavirus A subspecies/strain,unclassified Rotavirus A strain,W156,37530841,26.67139806432795,10,2025-02-17,Wastewater
KC686933.1,948,564,81,12.110275,2.27661,"Rotavirus A strain RVA/Human-wt/CMR/6796/1999/G9P[8] nonstructural protein 2 (NSP2) gene, partial cds",28875,Viruses,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,Rotavirus A,unclassified Rotavirus A subspecies/strain,unclassified Rotavirus A strain,W156,37530841,2.1582250181923714,10,2025-02-17,Wastewater
JQ988899.1,3284,1188,57,3.102425,0.46247,"Rotavirus A strain RVA/Human-wt/Croatia/CR2006/2006/G8P[8] segment 1 structural protein VP1 (VP1) gene, complete cds",28875,Viruses,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,Rotavirus A,unclassified Rotavirus A subspecies/strain,unclassified Rotavirus A strain,W156,37530841,1.5187509387279652,10,2025-02-17,Wastewater
